participant,group,condition,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,uncodeable,sub_only,basic_gen,strict_basic_gen
2f5d3f2ec0c425ded7f607a07aed1451,B,contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
2f5d3f2ec0c425ded7f607a07aed1451,B,single,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
8ed8cd822d7893939eb282f742e0bf0b,C,single,animal,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
8ed8cd822d7893939eb282f742e0bf0b,C,single,beast,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
8ed8cd822d7893939eb282f742e0bf0b,C,contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
8ed8cd822d7893939eb282f742e0bf0b,C,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
8ed8cd822d7893939eb282f742e0bf0b,C,single,furniture,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
8ed8cd822d7893939eb282f742e0bf0b,C,single,light,1,NA,1,0.6,0,FALSE,FALSE,TRUE,TRUE
8ed8cd822d7893939eb282f742e0bf0b,C,contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
8ed8cd822d7893939eb282f742e0bf0b,C,contrast,vehicle,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE
e50b80bd97e45e9bfdd7de68147d8d95,D,contrast,animal,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
e50b80bd97e45e9bfdd7de68147d8d95,D,contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
e50b80bd97e45e9bfdd7de68147d8d95,D,single,electronics,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
e50b80bd97e45e9bfdd7de68147d8d95,D,single,fruit,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
e50b80bd97e45e9bfdd7de68147d8d95,D,contrast,furniture,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
e50b80bd97e45e9bfdd7de68147d8d95,D,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
e50b80bd97e45e9bfdd7de68147d8d95,D,single,vegetable,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
e50b80bd97e45e9bfdd7de68147d8d95,D,single,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
0acd029686223205a976964c90766a67,A,single,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
0acd029686223205a976964c90766a67,A,contrast,beast,0.3333333333333333,0,1,0,0,FALSE,FALSE,FALSE,FALSE
0acd029686223205a976964c90766a67,A,single,electronics,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
0acd029686223205a976964c90766a67,A,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
0acd029686223205a976964c90766a67,A,single,furniture,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
0acd029686223205a976964c90766a67,A,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
0acd029686223205a976964c90766a67,A,single,vegetable,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE
0acd029686223205a976964c90766a67,A,contrast,vehicle,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
a43e0ed4b3b0d492fb84a3162103ddad,A,single,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
a43e0ed4b3b0d492fb84a3162103ddad,A,contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
a43e0ed4b3b0d492fb84a3162103ddad,A,single,electronics,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
a43e0ed4b3b0d492fb84a3162103ddad,A,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
a43e0ed4b3b0d492fb84a3162103ddad,A,single,furniture,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE
a43e0ed4b3b0d492fb84a3162103ddad,A,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
a43e0ed4b3b0d492fb84a3162103ddad,A,single,vegetable,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
a43e0ed4b3b0d492fb84a3162103ddad,A,contrast,vehicle,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
cf7729441664c6ff07c19f4ee9d66569,A,single,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
cf7729441664c6ff07c19f4ee9d66569,A,contrast,beast,0,0,1,0.2,0,FALSE,FALSE,FALSE,FALSE
cf7729441664c6ff07c19f4ee9d66569,A,single,electronics,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE
cf7729441664c6ff07c19f4ee9d66569,A,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
cf7729441664c6ff07c19f4ee9d66569,A,single,furniture,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE
cf7729441664c6ff07c19f4ee9d66569,A,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
cf7729441664c6ff07c19f4ee9d66569,A,single,vegetable,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
cf7729441664c6ff07c19f4ee9d66569,A,contrast,vehicle,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
ab0f803ccc42ac33b2bdb69f376037a0,A,single,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
ab0f803ccc42ac33b2bdb69f376037a0,A,contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
ab0f803ccc42ac33b2bdb69f376037a0,A,single,electronics,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
ab0f803ccc42ac33b2bdb69f376037a0,A,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
ab0f803ccc42ac33b2bdb69f376037a0,A,single,furniture,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
ab0f803ccc42ac33b2bdb69f376037a0,A,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
ab0f803ccc42ac33b2bdb69f376037a0,A,single,vegetable,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
ab0f803ccc42ac33b2bdb69f376037a0,A,contrast,vehicle,0.3333333333333333,0,1,0,0,FALSE,FALSE,FALSE,FALSE
600b0f69781ac9acf2f2cf857cbee0d5,A,single,animal,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
600b0f69781ac9acf2f2cf857cbee0d5,A,contrast,beast,1,0,1,0.2,0,FALSE,FALSE,FALSE,FALSE
600b0f69781ac9acf2f2cf857cbee0d5,A,single,electronics,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
600b0f69781ac9acf2f2cf857cbee0d5,A,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
600b0f69781ac9acf2f2cf857cbee0d5,A,single,furniture,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
600b0f69781ac9acf2f2cf857cbee0d5,A,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
600b0f69781ac9acf2f2cf857cbee0d5,A,single,vegetable,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
600b0f69781ac9acf2f2cf857cbee0d5,A,contrast,vehicle,0.6666666666666666,0,1,0,0,FALSE,FALSE,FALSE,FALSE
9a1b56f6bf67bcf108ae83c0c06579e3,A,single,animal,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
9a1b56f6bf67bcf108ae83c0c06579e3,A,contrast,beast,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE
9a1b56f6bf67bcf108ae83c0c06579e3,A,single,electronics,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
9a1b56f6bf67bcf108ae83c0c06579e3,A,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
9a1b56f6bf67bcf108ae83c0c06579e3,A,single,furniture,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
9a1b56f6bf67bcf108ae83c0c06579e3,A,contrast,light,0.3333333333333333,1,1,0,0.125,FALSE,FALSE,FALSE,FALSE
9a1b56f6bf67bcf108ae83c0c06579e3,A,single,vegetable,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE
9a1b56f6bf67bcf108ae83c0c06579e3,A,contrast,vehicle,0.6666666666666666,0,1,0,0,FALSE,FALSE,FALSE,FALSE
f0ac8188d99231af0ad7cb795a2d876b,A,single,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
f0ac8188d99231af0ad7cb795a2d876b,A,contrast,beast,0,0,0.5,0,0,FALSE,FALSE,FALSE,FALSE
f0ac8188d99231af0ad7cb795a2d876b,A,single,electronics,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
f0ac8188d99231af0ad7cb795a2d876b,A,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
f0ac8188d99231af0ad7cb795a2d876b,A,single,furniture,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
f0ac8188d99231af0ad7cb795a2d876b,A,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
f0ac8188d99231af0ad7cb795a2d876b,A,single,vegetable,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
f0ac8188d99231af0ad7cb795a2d876b,A,contrast,vehicle,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
634faa4c3d77234caade9b6afe6ab3ea,D,contrast,animal,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
