participant,group,condition,number,target,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,coding,fill
afb9ad38d1ce57d6ded38724d3f5647e,D,three-first,three,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
afb9ad38d1ce57d6ded38724d3f5647e,D,one-second,one,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
c23493d33349bd24f0c8bded367aa6e8,B,one-second,one,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
c23493d33349bd24f0c8bded367aa6e8,B,three-first,three,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
c23493d33349bd24f0c8bded367aa6e8,B,one-first,one,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
c23493d33349bd24f0c8bded367aa6e8,B,three-second,three,second,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
c23493d33349bd24f0c8bded367aa6e8,B,one-second,one,second,furniture,0,1,0,0,0,Uncodeable,grey
c23493d33349bd24f0c8bded367aa6e8,B,three-first,three,first,light,0,1,1,0,0,Uncodeable,grey
c23493d33349bd24f0c8bded367aa6e8,B,one-first,one,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
c23493d33349bd24f0c8bded367aa6e8,B,three-second,three,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
5f946de5d8b92166cd30f8e08d3e148e,B,one-second,one,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
5f946de5d8b92166cd30f8e08d3e148e,B,three-first,three,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
5f946de5d8b92166cd30f8e08d3e148e,B,one-first,one,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
5f946de5d8b92166cd30f8e08d3e148e,B,three-second,three,second,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
5f946de5d8b92166cd30f8e08d3e148e,B,one-second,one,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
5f946de5d8b92166cd30f8e08d3e148e,B,three-first,three,first,light,0,1,0,0,0,Uncodeable,grey
5f946de5d8b92166cd30f8e08d3e148e,B,one-first,one,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
5f946de5d8b92166cd30f8e08d3e148e,B,three-second,three,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
91dabff08bbcf359b85ee1c095e9e9c9,A,one-first,one,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
91dabff08bbcf359b85ee1c095e9e9c9,A,three-second,three,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
91dabff08bbcf359b85ee1c095e9e9c9,A,one-second,one,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
91dabff08bbcf359b85ee1c095e9e9c9,A,three-first,three,first,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
91dabff08bbcf359b85ee1c095e9e9c9,A,one-first,one,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
91dabff08bbcf359b85ee1c095e9e9c9,A,three-second,three,second,light,0,1,1,0,0,Uncodeable,grey
91dabff08bbcf359b85ee1c095e9e9c9,A,one-second,one,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
91dabff08bbcf359b85ee1c095e9e9c9,A,three-first,three,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
d9ec58f64f874bb4a976332d13fd72c1,A,one-first,one,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
d9ec58f64f874bb4a976332d13fd72c1,A,three-second,three,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
d9ec58f64f874bb4a976332d13fd72c1,A,one-second,one,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
d9ec58f64f874bb4a976332d13fd72c1,A,three-first,three,first,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
d9ec58f64f874bb4a976332d13fd72c1,A,one-first,one,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
d9ec58f64f874bb4a976332d13fd72c1,A,three-second,three,second,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
d9ec58f64f874bb4a976332d13fd72c1,A,one-second,one,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
d9ec58f64f874bb4a976332d13fd72c1,A,three-first,three,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
f2eea71defdfc785b4083f446c4eb003,D,three-second,three,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
f2eea71defdfc785b4083f446c4eb003,D,one-first,one,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
f2eea71defdfc785b4083f446c4eb003,D,three-first,three,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
f2eea71defdfc785b4083f446c4eb003,D,one-second,one,second,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
f2eea71defdfc785b4083f446c4eb003,D,three-second,three,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
f2eea71defdfc785b4083f446c4eb003,D,one-first,one,first,light,0,1,0,0,0,Uncodeable,grey
f2eea71defdfc785b4083f446c4eb003,D,three-first,three,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
f2eea71defdfc785b4083f446c4eb003,D,one-second,one,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
aa2670b9bad74114d0bb6f585af38d92,B,one-second,one,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
aa2670b9bad74114d0bb6f585af38d92,B,three-first,three,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
aa2670b9bad74114d0bb6f585af38d92,B,one-first,one,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
aa2670b9bad74114d0bb6f585af38d92,B,three-second,three,second,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
aa2670b9bad74114d0bb6f585af38d92,B,one-second,one,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
aa2670b9bad74114d0bb6f585af38d92,B,three-first,three,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
aa2670b9bad74114d0bb6f585af38d92,B,one-first,one,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
aa2670b9bad74114d0bb6f585af38d92,B,three-second,three,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
4a8fbe0bd87001e7f07602a6816f1dfb,C,three-first,three,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
