participant,group,condition,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,uncodeable,sub_only,basic_gen,strict_basic_gen,coding,fill
2f5d3f2ec0c425ded7f607a07aed1451,B,No Contrast,light,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2f5d3f2ec0c425ded7f607a07aed1451,B,Contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2f5d3f2ec0c425ded7f607a07aed1451,B,No Contrast,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
8ed8cd822d7893939eb282f742e0bf0b,C,No Contrast,animal,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
8ed8cd822d7893939eb282f742e0bf0b,C,No Contrast,beast,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
8ed8cd822d7893939eb282f742e0bf0b,C,Contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
8ed8cd822d7893939eb282f742e0bf0b,C,Contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
8ed8cd822d7893939eb282f742e0bf0b,C,No Contrast,furniture,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
8ed8cd822d7893939eb282f742e0bf0b,C,No Contrast,light,1,NA,1,0.6,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
8ed8cd822d7893939eb282f742e0bf0b,C,Contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
8ed8cd822d7893939eb282f742e0bf0b,C,Contrast,vehicle,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,broad subordinate,#CC4D06FF
e50b80bd97e45e9bfdd7de68147d8d95,D,Contrast,animal,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
e50b80bd97e45e9bfdd7de68147d8d95,D,Contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
e50b80bd97e45e9bfdd7de68147d8d95,D,No Contrast,electronics,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
e50b80bd97e45e9bfdd7de68147d8d95,D,No Contrast,fruit,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
e50b80bd97e45e9bfdd7de68147d8d95,D,Contrast,furniture,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
e50b80bd97e45e9bfdd7de68147d8d95,D,Contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
e50b80bd97e45e9bfdd7de68147d8d95,D,No Contrast,vegetable,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
e50b80bd97e45e9bfdd7de68147d8d95,D,No Contrast,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
0acd029686223205a976964c90766a67,A,No Contrast,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
0acd029686223205a976964c90766a67,A,Contrast,beast,0.3333333333333333,0,1,0,0,FALSE,FALSE,FALSE,FALSE,broad subordinate,#CC4D06FF
